20	170
175	184
192	204
208	208
216	216
224	232
243	264
272	280
294	308
320	332
343	359
375	392
400	408
432	440
448	456
480	483
486	488
490	494
500	504
513	520
540	548
550	552
575	583
594	596
600	602
608	608
625	632
640	645
648	648
650	656
675	683
688	694
702	710
729	733
735	743
752	758
775	776
783	791
800	808
832	841
864	872
882	883
896	904
931	936
975	980
999	1007
1025	1034
1056	1061
1125	1135
1184	1184
1216	1223
1250	1256
1280	1283
1375	1383
1458	1458
1472	1478
1539	1544
1620	1628
1666	1672
1701	1708
1800	1800
1862	1870
2050	2056
2058	2060
2107	2115
2254	2258
2304	2311
2352	2357
2375	2376
2401	2409
2432	2438
2499	2507
2565	2568
2625	2632
2750	2760
2880	2883
2916	2920
3000	3005
3008	3008
3078	3080
3328	3329
3584	3585
3648	3653
3750	3752
3776	3781
3969	3976
4131	4133
4375	4382
4459	4463
4608	4614
4625	4625
4802	4808
4864	4868
5000	5006
5103	5104
5125	5128
5250	5256
5376	5383
5504	5512
5632	5633
5832	5839
6566	6569
7047	7048
7209	7211
7296	7298
7552	7554
8505	8508
8576	8583
8750	8756
9477	9480
9604	9608
9728	9728
10375	10376
10500	10504
10625	10633
10752	10758
10880	10883
11264	11267
11664	11670
12005	12008
13122	13130
14337	14344
15633	15633
16128	16129
17152	17158
17496	17504
18179	18184
19200	19205
19208	19208
21250	21256
21875	21878
23328	23332
23814	23816
24064	24065
26244	26248
26250	26252
26625	26632
26880	26883
28126	28133
28674	28680
29160	29163
30625	30626
34304	34308
34992	34994
35000	35000
35329	35336
36358	36360
37504	37508
40824	40825
42500	42504
43011	43016
45625	45627
46656	46656
48128	48133
52488	52488
56252	56258
57348	57352
67072	67076
69632	69637
85000	85000
86022	86024
90625	90632
96256	96258
100845	100850
114696	114696
134144	134144
139264	139266
140630	140633
177152	177155
181250	181256
196882	196883
220892	220895
229376	229383
255879	255886
362500	362504
386561	386568
453125	453128
458752	458758
468750	468755
483328	483335
612360	612360
688128	688133
725000	725000
785133	785135
937500	937502
1015625	1015631
1146880	1146883
1226911	1226915
1328128	1328133
1384375	1384379
1449984	1449989
2031250	2031254
2453822	2453822
2656256	2656258
2703132	2703133
2899968	2899970
3046875	3046877
4062500	4062500
4890625	4890632
7263027	7263033
9764867	9764872
9781250	9781256
16218755	16218758
17734383	17734383
19529734	19529736
194507411	194507414
2061328129	2061328133
2553806848	2553806851
