# command: LEAN -j1 -M2048 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T021937763278Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/rows/Row055B64/Block000.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/rows/Row055B64/Block000.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T02:19:52.212119Z
# finished_utc: 2026-09-11T02:20:30.665045Z
# exit_code: 0
# timed_out: False
'B699LowIndex.LowIndexLean513dc7cc.row055' does not depend on any axioms
'B699LowIndex.LowIndexLean513dc7cc.row055_good000_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good001_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good002_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good003_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good004_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good005_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good006_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good007_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good008_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good009_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good010_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good011_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good012_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good013_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good014_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good015_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good016_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good017_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good018_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good019_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good020_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good021_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good022_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good023_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'B699LowIndex.LowIndexLean513dc7cc.row055_good024_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
